NODE_ID,NODE_X,NODE_Y,NODE_NAME,NODE_WKTPOINT,NODE_LABEL,IATA,ICAO,CITY,COUNTRY
15,-23.135299682617188,66.05809783935547,IFJ: Ísafjörður Airport,POINT(-23.135299682617188 66.05809783935547),"IFJ: Ísafjörður Airport; Isafjordur, Iceland",IFJ,BIIS,Isafjordur,Iceland
16,-22.605600357056,63.985000610352,KEF: Keflavik International Airport,POINT(-22.605600357056 63.985000610352),"KEF: Keflavik International Airport; Keflavik, Iceland",KEF,BIKF,Keflavik,Iceland
17,-23.965,65.555801,PFJ: Patreksfjörður Airport,POINT(-23.965 65.555801),"PFJ: Patreksfjörður Airport; Patreksfjordur, Iceland",PFJ,BIPA,Patreksfjordur,Iceland
18,-21.9405994415,64.1299972534,RKV: Reykjavik Airport,POINT(-21.9405994415 64.1299972534),"RKV: Reykjavik Airport; Reykjavik, Iceland",RKV,BIRK,Reykjavik,Iceland
19,-18.9167,66.133301,SIJ: Siglufjörður Airport,POINT(-18.9167 66.133301),"SIJ: Siglufjörður Airport; Siglufjordur, Iceland",SIJ,BISI,Siglufjordur,Iceland
20,-20.278900146484375,63.42430114746094,VEY: Vestmannaeyjar Airport,POINT(-20.278900146484375 63.42430114746094),"VEY: Vestmannaeyjar Airport; Vestmannaeyjar, Iceland",VEY,BIVM,Vestmannaeyjar,Iceland
21,-84.5093994140625,46.48500061035156,YAM: Sault Ste Marie Airport,POINT(-84.5093994140625 46.48500061035156),"YAM: Sault Ste Marie Airport; Sault Sainte Marie, Canada",YAM,CYAM,Sault Sainte Marie,Canada
22,-97.03250122070001,50.0564002991,CYAV: Winnipeg / St. Andrews Airport,POINT(-97.03250122070001 50.0564002991),"CYAV: Winnipeg / St. Andrews Airport; Winnipeg, Canada",,CYAV,Winnipeg,Canada
23,-63.499401,44.639702,CYAW: Halifax / CFB Shearwater Heliport,POINT(-63.499401 44.639702),"CYAW: Halifax / CFB Shearwater Heliport; Halifax, Canada",,CYAW,Halifax,Canada
24,-56.083099365200006,51.3918991089,YAY: St. Anthony Airport,POINT(-56.083099365200006 51.3918991089),"YAY: St. Anthony Airport; St. Anthony, Canada",YAY,CYAY,St. Anthony,Canada
25,-125.775583,49.079833,YAZ: Tofino / Long Beach Airport,POINT(-125.775583 49.079833),"YAZ: Tofino / Long Beach Airport; Tofino, Canada",YAZ,CYAZ,Tofino,Canada
26,-89.808098,68.534401,YBB: Kugaaruk Airport,POINT(-89.808098 68.534401),"YBB: Kugaaruk Airport; Pelly Bay, Canada",YBB,CYBB,Pelly Bay,Canada
27,-68.20439910888672,49.13249969482422,YBC: Baie Comeau Airport,POINT(-68.20439910888672 49.13249969482422),"YBC: Baie Comeau Airport; Baie Comeau, Canada",YBC,CYBC,Baie Comeau,Canada
28,-70.99639892578125,48.33060073852539,YBG: CFB Bagotville,POINT(-70.99639892578125 48.33060073852539),"YBG: CFB Bagotville; Bagotville, Canada",YBG,CYBG,Bagotville,Canada
29,-96.077796936,64.29889678960001,YBK: Baker Lake Airport,POINT(-96.077796936 64.29889678960001),"YBK: Baker Lake Airport; Baker Lake, Canada",YBK,CYBK,Baker Lake,Canada
30,-125.27100372314453,49.950801849365234,YBL: Campbell River Airport,POINT(-125.27100372314453 49.950801849365234),"YBL: Campbell River Airport; Campbell River, Canada",YBL,CYBL,Campbell River,Canada
31,-99.951897,49.91,YBR: Brandon Municipal Airport,POINT(-99.951897 49.91),"YBR: Brandon Municipal Airport; Brandon, Canada",YBR,CYBR,Brandon,Canada
32,-105.138000488,69.1081008911,YCB: Cambridge Bay Airport,POINT(-105.138000488 69.1081008911),"YCB: Cambridge Bay Airport; Cambridge Bay, Canada",YCB,CYCB,Cambridge Bay,Canada
33,-123.869862556,49.054970224899996,YCD: Nanaimo Airport,POINT(-123.869862556 49.054970224899996),"YCD: Nanaimo Airport; Nanaimo, Canada",YCD,CYCD,Nanaimo,Canada
34,-117.632003784,49.2963981628,YCG: Castlegar/West Kootenay Regional Airport,POINT(-117.632003784 49.2963981628),"YCG: Castlegar/West Kootenay Regional Airport; Castlegar, Canada",YCG,CYCG,Castlegar,Canada
35,-65.449203,47.007801,YCH: Miramichi Airport,POINT(-65.449203 47.007801),"YCH: Miramichi Airport; Chatham, Canada",YCH,CYCH,Chatham,Canada
36,-66.330299,47.990799,YCL: Charlo Airport,POINT(-66.330299 47.990799),"YCL: Charlo Airport; Charlo, Canada",YCL,CYCL,Charlo,Canada
37,-115.143997,67.816704,YCO: Kugluktuk Airport,POINT(-115.143997 67.816704),"YCO: Kugluktuk Airport; Coppermine, Canada",YCO,CYCO,Coppermine,Canada
38,-111.444999695,52.0750007629,YCT: Coronation Airport,POINT(-111.444999695 52.0750007629),"YCT: Coronation Airport; Coronation, Canada",YCT,CYCT,Coronation,Canada
39,-121.939002991,49.1528015137,YCW: Chilliwack Airport,POINT(-121.939002991 49.1528015137),"YCW: Chilliwack Airport; Chilliwack, Canada",YCW,CYCW,Chilliwack,Canada
40,-68.5167007446,70.4860992432,YCY: Clyde River Airport,POINT(-68.5167007446 70.4860992432),"YCY: Clyde River Airport; Clyde River, Canada",YCY,CYCY,Clyde River,Canada
41,-83.3593978882,64.1932983398,YZS: Coral Harbour Airport,POINT(-83.3593978882 64.1932983398),"YZS: Coral Harbour Airport; Coral Harbour, Canada",YZS,CYZS,Coral Harbour,Canada
42,-139.1280059814453,64.04309844970703,YDA: Dawson City Airport,POINT(-139.1280059814453 64.04309844970703),"YDA: Dawson City Airport; Dawson, Canada",YDA,CYDA,Dawson,Canada
43,-139.04100036621094,61.37110137939453,YDB: Burwash Airport,POINT(-139.04100036621094 61.37110137939453),"YDB: Burwash Airport; Burwash, Canada",YDB,CYDB,Burwash,Canada
44,-120.511001587,49.4681015015,CYDC: Princeton Airport,POINT(-120.511001587 49.4681015015),"CYDC: Princeton Airport; Princeton, Canada",,CYDC,Princeton,Canada
45,-57.39139938354492,49.21080017089844,YDF: Deer Lake Airport,POINT(-57.39139938354492 49.21080017089844),"YDF: Deer Lake Airport; Deer Lake, Canada",YDF,CYDF,Deer Lake,Canada
46,-130.031997681,58.4221992493,YDL: Dease Lake Airport,POINT(-130.031997681 58.4221992493),"YDL: Dease Lake Airport; Dease Lake, Canada",YDL,CYDL,Dease Lake,Canada
47,-100.052001953125,51.100799560546875,YDN: Dauphin Barker Airport,POINT(-100.052001953125 51.100799560546875),"YDN: Dauphin Barker Airport; Dauphin, Canada",YDN,CYDN,Dauphin,Canada
48,-120.18299865722656,55.7422981262207,YDQ: Dawson Creek Airport,POINT(-120.18299865722656 55.7422981262207),"YDQ: Dawson Creek Airport; Dawson Creek, Canada",YDQ,CYDQ,Dawson Creek,Canada
49,-113.580001831,53.309700012200004,YEG: Edmonton International Airport,POINT(-113.580001831 53.309700012200004),"YEG: Edmonton International Airport; Edmonton, Canada",YEG,CYEG,Edmonton,Canada
50,-94.07080078119999,61.0942001343,YEK: Arviat Airport,POINT(-94.07080078119999 61.0942001343),"YEK: Arviat Airport; Eskimo Point, Canada",YEK,CYEK,Eskimo Point,Canada
51,-102.966003418,49.2103004456,YEN: Estevan Airport,POINT(-102.966003418 49.2103004456),"YEN: Estevan Airport; Estevan, Canada",YEN,CYEN,Estevan,Canada
52,-116.464996338,53.578899383499994,YET: Edson Airport,POINT(-116.464996338 53.578899383499994),"YET: Edson Airport; Edson, Canada",YET,CYET,Edson,Canada
53,-85.814201355,79.9946975708,YEU: Eureka Airport,POINT(-85.814201355 79.9946975708),"YEU: Eureka Airport; Eureka, Canada",YEU,CYEU,Eureka,Canada
54,-133.483001709,68.30419921880001,YEV: Inuvik Mike Zubko Airport,POINT(-133.483001709 68.30419921880001),"YEV: Inuvik Mike Zubko Airport; Inuvik, Canada",YEV,CYEV,Inuvik,Canada
55,-68.555801,63.756402,YFB: Iqaluit Airport,POINT(-68.555801 63.756402),"YFB: Iqaluit Airport; Iqaluit, Canada",YFB,CYFB,Iqaluit,Canada
56,-66.53720092773438,45.868900299072266,YFC: Fredericton Airport,POINT(-66.53720092773438 45.868900299072266),"YFC: Fredericton Airport; Fredericton, Canada",YFC,CYFC,Fredericton,Canada
57,-69.09719848632812,48.74610137939453,YFE: Forestville Airport,POINT(-69.09719848632812 48.74610137939453),"YFE: Forestville Airport; Forestville, Canada",YFE,CYFE,Forestville,Canada
58,-101.68199920654297,54.6781005859375,YFO: Flin Flon Airport,POINT(-101.68199920654297 54.6781005859375),"YFO: Flin Flon Airport; Flin Flon, Canada",YFO,CYFO,Flin Flon,Canada
59,-113.690002441,61.1808013916,YFR: Fort Resolution Airport,POINT(-113.690002441 61.1808013916),"YFR: Fort Resolution Airport; Fort Resolution, Canada",YFR,CYFR,Fort Resolution,Canada
60,-121.23699951171875,61.76020050048828,YFS: Fort Simpson Airport,POINT(-121.23699951171875 61.76020050048828),"YFS: Fort Simpson Airport; Fort Simpson, Canada",YFS,CYFS,Fort Simpson,Canada
61,-76.5969009399414,44.22529983520508,YGK: Kingston Norman Rogers Airport,POINT(-76.5969009399414 44.22529983520508),"YGK: Kingston Norman Rogers Airport; Kingston, Canada",YGK,CYGK,Kingston,Canada
62,-77.7042007446289,53.625301361083984,YGL: La Grande Rivière Airport,POINT(-77.7042007446289 53.625301361083984),"YGL: La Grande Rivière Airport; La Grande Riviere, Canada",YGL,CYGL,La Grande Riviere,Canada
63,-64.4785995483,48.7752990723,YGP: Gaspé (Michel-Pouliot) Airport,POINT(-64.4785995483 48.7752990723),"YGP: Gaspé (Michel-Pouliot) Airport; Gaspe, Canada",YGP,CYGP,Gaspe,Canada
64,-86.93939971923828,49.77830123901367,YGQ: Geraldton Greenstone Regional Airport,POINT(-86.93939971923828 49.77830123901367),"YGQ: Geraldton Greenstone Regional Airport; Geraldton, Canada",YGQ,CYGQ,Geraldton,Canada
65,-61.778099060058594,47.42470169067383,YGR: Îles-de-la-Madeleine Airport,POINT(-61.778099060058594 47.42470169067383),"YGR: Îles-de-la-Madeleine Airport; Iles De La Madeleine, Canada",YGR,CYGR,Iles De La Madeleine,Canada
66,-102.310997009,52.8166999817,YHB: Hudson Bay Airport,POINT(-102.310997009 52.8166999817),"YHB: Hudson Bay Airport; Hudson Bay, Canada",YHB,CYHB,Hudson Bay,Canada
67,-92.744202,49.831699,YHD: Dryden Regional Airport,POINT(-92.744202 49.831699),"YHD: Dryden Regional Airport; Dryden, Canada",YHD,CYHD,Dryden,Canada
68,-117.80599975585938,70.76280212402344,YHI: Ulukhaktok Holman Airport,POINT(-117.80599975585938 70.76280212402344),"YHI: Ulukhaktok Holman Airport; Holman Island, Canada",YHI,CYHI,Holman Island,Canada
69,-95.84970092770001,68.635597229,YHK: Gjoa Haven Airport,POINT(-95.84970092770001 68.635597229),"YHK: Gjoa Haven Airport; Gjoa Haven, Canada",YHK,CYHK,Gjoa Haven,Canada
70,-79.93499755859999,43.173599243199995,YHM: John C. Munro Hamilton International Airport,POINT(-79.93499755859999 43.173599243199995),"YHM: John C. Munro Hamilton International Airport; Hamilton, Canada",YHM,CYHM,Hamilton,Canada
71,-73.4169006348,45.5175018311,YHU: Montréal / Saint-Hubert Airport,POINT(-73.4169006348 45.5175018311),"YHU: Montréal / Saint-Hubert Airport; Montreal, Canada",YHU,CYHU,Montreal,Canada
72,-115.782997131,60.8396987915,YHY: Hay River / Merlyn Carter Airport,POINT(-115.782997131 60.8396987915),"YHY: Hay River / Merlyn Carter Airport; Hay River, Canada",YHY,CYHY,Hay River,Canada
73,-63.5085983276,44.8807983398,YHZ: Halifax / Stanfield International Airport,POINT(-63.5085983276 44.8807983398),"YHZ: Halifax / Stanfield International Airport; Halifax, Canada",YHZ,CYHZ,Halifax,Canada
74,-91.6386032104,48.7738990784,YIB: Atikokan Municipal Airport,POINT(-91.6386032104 48.7738990784),"YIB: Atikokan Municipal Airport; Atikokan, Canada",YIB,CYIB,Atikokan,Canada
75,-77.9666976929,72.6832962036,YIO: Pond Inlet Airport,POINT(-77.9666976929 72.6832962036),"YIO: Pond Inlet Airport; Pond Inlet, Canada",YIO,CYIO,Pond Inlet,Canada
76,-73.28109741210938,45.29439926147461,YJN: St Jean Airport,POINT(-73.28109741210938 45.29439926147461),"YJN: St Jean Airport; St. Jean, Canada",YJN,CYJN,St. Jean,Canada
77,-58.54999923706055,48.5442008972168,YJT: Stephenville Airport,POINT(-58.54999923706055 48.5442008972168),"YJT: Stephenville Airport; Stephenville, Canada",YJT,CYJT,Stephenville,Canada
78,-120.444000244,50.7022018433,YKA: Kamloops Airport,POINT(-120.444000244 50.7022018433),"YKA: Kamloops Airport; Kamloops, Canada",YKA,CYKA,Kamloops,Canada
79,-80.3786010742,43.460800170899994,YKF: Waterloo Airport,POINT(-80.3786010742 43.460800170899994),"YKF: Waterloo Airport; Waterloo, Canada",YKF,CYKF,Waterloo,Canada
80,-66.8052978515625,54.805301666259766,YKL: Schefferville Airport,POINT(-66.8052978515625 54.805301666259766),"YKL: Schefferville Airport; Schefferville, Canada",YKL,CYKL,Schefferville,Canada
81,-109.180999756,51.5175018311,YKY: Kindersley Airport,POINT(-109.180999756 51.5175018311),"YKY: Kindersley Airport; Kindersley, Canada",YKY,CYKY,Kindersley,Canada
82,-79.37000274658203,43.86220169067383,YKZ: Buttonville Municipal Airport,POINT(-79.37000274658203 43.86220169067383),"YKZ: Buttonville Municipal Airport; Toronto, Canada",YKZ,CYKZ,Toronto,Canada
83,-83.3467025756836,47.81999969482422,YLD: Chapleau Airport,POINT(-83.3467025756836 47.81999969482422),"YLD: Chapleau Airport; Chapleau, Canada",YLD,CYLD,Chapleau,Canada
84,-108.52300262451172,54.125301361083984,YLJ: Meadow Lake Airport,POINT(-108.52300262451172 54.125301361083984),"YLJ: Meadow Lake Airport; Meadow Lake, Canada",YLJ,CYLJ,Meadow Lake,Canada
85,-110.072998046875,53.309200286865234,YLL: Lloydminster Airport,POINT(-110.072998046875 53.309200286865234),"YLL: Lloydminster Airport; Lloydminster, Canada",YLL,CYLL,Lloydminster,Canada
86,-62.2806015015,82.51779937740001,YLT: Alert Airport,POINT(-62.2806015015 82.51779937740001),"YLT: Alert Airport; Alert, Canada",YLT,CYLT,Alert,Canada
87,-119.377998352,49.9561004639,YLW: Kelowna International Airport,POINT(-119.377998352 49.9561004639),"YLW: Kelowna International Airport; Kelowna, Canada",YLW,CYLW,Kelowna,Canada
88,-135.8679962158203,63.61640167236328,YMA: Mayo Airport,POINT(-135.8679962158203 63.61640167236328),"YMA: Mayo Airport; Mayo, Canada",YMA,CYMA,Mayo,Canada
89,-105.55899810791016,50.330299377441406,YMJ: Moose Jaw Air Vice Marshal C. M. McEwen Airport,POINT(-105.55899810791016 50.330299377441406),"YMJ: Moose Jaw Air Vice Marshal C. M. McEwen Airport; Moose Jaw, Canada",YMJ,CYMJ,Moose Jaw,Canada
90,-111.222000122,56.653301239,YMM: Fort McMurray Airport,POINT(-111.222000122 56.653301239),"YMM: Fort McMurray Airport; Fort Mcmurray, Canada",YMM,CYMM,Fort Mcmurray,Canada
91,-80.60780334472656,51.291099548339844,YMO: Moosonee Airport,POINT(-80.60780334472656 51.291099548339844),"YMO: Moosonee Airport; Moosonee, Canada",YMO,CYMO,Moosonee,Canada
92,-75.9906005859,46.2728004456,YMW: Maniwaki Airport,POINT(-75.9906005859 46.2728004456),"YMW: Maniwaki Airport; Maniwaki, Canada",YMW,CYMW,Maniwaki,Canada
93,-74.038696,45.679501,YMX: Montreal International (Mirabel) Airport,POINT(-74.038696 45.679501),"YMX: Montreal International (Mirabel) Airport; Montreal, Canada",YMX,CYMX,Montreal,Canada
94,-61.78919982910156,50.189998626708984,YNA: Natashquan Airport,POINT(-61.78919982910156 50.189998626708984),"YNA: Natashquan Airport; Natashquan, Canada",YNA,CYNA,Natashquan,Canada
95,-75.5635986328,45.521701812699995,YND: Ottawa / Gatineau Airport,POINT(-75.5635986328 45.521701812699995),"YND: Ottawa / Gatineau Airport; Gatineau, Canada",YND,CYND,Gatineau,Canada
96,-77.80280303955078,49.76169967651367,YNM: Matagami Airport,POINT(-77.80280303955078 49.76169967651367),"YNM: Matagami Airport; Matagami, Canada",YNM,CYNM,Matagami,Canada
97,-139.83900451660156,67.57060241699219,YOC: Old Crow Airport,POINT(-139.83900451660156 67.57060241699219),"YOC: Old Crow Airport; Old Crow, Canada",YOC,CYOC,Old Crow,Canada
98,-110.27899932861328,54.404998779296875,YOD: CFB Cold Lake,POINT(-110.27899932861328 54.404998779296875),"YOD: CFB Cold Lake; Cold Lake, Canada",YOD,CYOD,Cold Lake,Canada
99,-117.16500091552734,58.62139892578125,YOJ: High Level Airport,POINT(-117.16500091552734 58.62139892578125),"YOJ: High Level Airport; High Level, Canada",YOJ,CYOJ,High Level,Canada
100,-75.66919708251953,45.3224983215332,YOW: Ottawa Macdonald-Cartier International Airport,POINT(-75.66919708251953 45.3224983215332),"YOW: Ottawa Macdonald-Cartier International Airport; Ottawa, Canada",YOW,CYOW,Ottawa,Canada
101,-105.672996521,53.214199066199996,YPA: Prince Albert Glass Field,POINT(-105.672996521 53.214199066199996),"YPA: Prince Albert Glass Field; Prince Albert, Canada",YPA,CYPA,Prince Albert,Canada
102,-117.446999,56.226898,YPE: Peace River Airport,POINT(-117.446999 56.226898),"YPE: Peace River Airport; Peace River, Canada",YPE,CYPE,Peace River,Canada
103,-98.273817,49.903099,YPG: Southport Airport,POINT(-98.273817 49.903099),"YPG: Southport Airport; Portage-la-prairie, Canada",YPG,CYPG,Portage-la-prairie,Canada
104,-122.70999908447266,49.21609878540039,CYPK: Pitt Meadows Airport,POINT(-122.70999908447266 49.21609878540039),"CYPK: Pitt Meadows Airport; Pitt Meadows, Canada",,CYPK,Pitt Meadows,Canada
105,-90.21420288085938,51.4463996887207,YPL: Pickle Lake Airport,POINT(-90.21420288085938 51.4463996887207),"YPL: Pickle Lake Airport; Pickle Lake, Canada",YPL,CYPL,Pickle Lake,Canada
106,-64.2885971069336,49.83639907836914,YPN: Port Menier Airport,POINT(-64.2885971069336 49.83639907836914),"YPN: Port Menier Airport; Port Menier, Canada",YPN,CYPN,Port Menier,Canada
107,-78.36329650878906,44.22999954223633,YPQ: Peterborough Airport,POINT(-78.36329650878906 44.22999954223633),"YPQ: Peterborough Airport; Peterborough, Canada",YPQ,CYPQ,Peterborough,Canada
108,-130.445007324,54.286098480199996,YPR: Prince Rupert Airport,POINT(-130.445007324 54.286098480199996),"YPR: Prince Rupert Airport; Prince Pupert, Canada",YPR,CYPR,Prince Pupert,Canada
109,-111.11699676513672,58.7672004699707,YPY: Fort Chipewyan Airport,POINT(-111.11699676513672 58.7672004699707),"YPY: Fort Chipewyan Airport; Fort Chipewyan, Canada",YPY,CYPY,Fort Chipewyan,Canada
110,-79.30329895019531,44.974700927734375,YQA: Muskoka Airport,POINT(-79.30329895019531 44.974700927734375),"YQA: Muskoka Airport; Muskoka, Canada",YQA,CYQA,Muskoka,Canada
111,-71.393303,46.7911,YQB: Quebec Jean Lesage International Airport,POINT(-71.393303 46.7911),"YQB: Quebec Jean Lesage International Airport; Quebec, Canada",YQB,CYQB,Quebec,Canada
112,-113.89399719238281,52.18220138549805,YQF: Red Deer Regional Airport,POINT(-113.89399719238281 52.18220138549805),"YQF: Red Deer Regional Airport; Red Deer Industrial, Canada",YQF,CYQF,Red Deer Industrial,Canada
113,-82.95559692382812,42.27560043334961,YQG: Windsor Airport,POINT(-82.95559692382812 42.27560043334961),"YQG: Windsor Airport; Windsor, Canada",YQG,CYQG,Windsor,Canada
114,-128.82200622558594,60.11640167236328,YQH: Watson Lake Airport,POINT(-128.82200622558594 60.11640167236328),"YQH: Watson Lake Airport; Watson Lake, Canada",YQH,CYQH,Watson Lake,Canada
115,-94.36309814453125,49.788299560546875,YQK: Kenora Airport,POINT(-94.36309814453125 49.788299560546875),"YQK: Kenora Airport; Kenora, Canada",YQK,CYQK,Kenora,Canada
116,-112.800003052,49.6302986145,YQL: Lethbridge County Airport,POINT(-112.800003052 49.6302986145),"YQL: Lethbridge County Airport; Lethbridge, Canada",YQL,CYQL,Lethbridge,Canada
117,-64.67859649658203,46.11220169067383,YQM: Greater Moncton International Airport,POINT(-64.67859649658203 46.11220169067383),"YQM: Greater Moncton International Airport; Moncton, Canada",YQM,CYQM,Moncton,Canada
119,-124.88700103759766,49.71080017089844,YQQ: Comox Airport,POINT(-124.88700103759766 49.71080017089844),"YQQ: Comox Airport; Comox, Canada",YQQ,CYQQ,Comox,Canada
120,-104.66600036621094,50.43190002441406,YQR: Regina International Airport,POINT(-104.66600036621094 50.43190002441406),"YQR: Regina International Airport; Regina, Canada",YQR,CYQR,Regina,Canada
121,-89.32389831542969,48.37189865112305,YQT: Thunder Bay Airport,POINT(-89.32389831542969 48.37189865112305),"YQT: Thunder Bay Airport; Thunder Bay, Canada",YQT,CYQT,Thunder Bay,Canada
122,-118.885002136,55.1796989441,YQU: Grande Prairie Airport,POINT(-118.885002136 55.1796989441),"YQU: Grande Prairie Airport; Grande Prairie, Canada",YQU,CYQU,Grande Prairie,Canada
123,-102.46199798583984,51.26470184326172,YQV: Yorkton Municipal Airport,POINT(-102.46199798583984 51.26470184326172),"YQV: Yorkton Municipal Airport; Yorkton, Canada",YQV,CYQV,Yorkton,Canada
124,-108.24400329589844,52.76919937133789,YQW: North Battleford Airport,POINT(-108.24400329589844 52.76919937133789),"YQW: North Battleford Airport; North Battleford, Canada",YQW,CYQW,North Battleford,Canada
125,-54.56809997558594,48.9369010925293,YQX: Gander International Airport,POINT(-54.56809997558594 48.9369010925293),"YQX: Gander International Airport; Gander, Canada",YQX,CYQX,Gander,Canada
126,-60.047798,46.1614,YQY: Sydney / J.A. Douglas McCurdy Airport,POINT(-60.047798 46.1614),"YQY: Sydney / J.A. Douglas McCurdy Airport; Sydney, Canada",YQY,CYQY,Sydney,Canada
127,-122.51000213623047,53.026100158691406,YQZ: Quesnel Airport,POINT(-122.51000213623047 53.026100158691406),"YQZ: Quesnel Airport; Quesnel, Canada",YQZ,CYQZ,Quesnel,Canada
128,-94.9693984985,74.7169036865,YRB: Resolute Bay Airport,POINT(-94.9693984985 74.7169036865),"YRB: Resolute Bay Airport; Resolute, Canada",YRB,CYRB,Resolute,Canada
129,-69.58470153808594,47.764400482177734,YRI: Rivière-du-Loup Airport,POINT(-69.58470153808594 47.764400482177734),"YRI: Rivière-du-Loup Airport; Riviere Du Loup, Canada",YRI,CYRI,Riviere Du Loup,Canada
130,-72.2656021118164,48.52000045776367,YRJ: Roberval Airport,POINT(-72.2656021118164 48.52000045776367),"YRJ: Roberval Airport; Roberval, Canada",YRJ,CYRJ,Roberval,Canada
131,-114.903999329,52.4296989441,YRM: Rocky Mountain House Airport,POINT(-114.903999329 52.4296989441),"YRM: Rocky Mountain House Airport; Rocky Mountain House, Canada",YRM,CYRM,Rocky Mountain House,Canada
132,-92.1157989502,62.8114013672,YRT: Rankin Inlet Airport,POINT(-92.1157989502 62.8114013672),"YRT: Rankin Inlet Airport; Rankin Inlet, Canada",YRT,CYRT,Rankin Inlet,Canada
133,-80.79889678955078,46.625,YSB: Sudbury Airport,POINT(-80.79889678955078 46.625),"YSB: Sudbury Airport; Sudbury, Canada",YSB,CYSB,Sudbury,Canada
134,-71.69139862060547,45.4385986328125,YSC: Sherbrooke Airport,POINT(-71.69139862060547 45.4385986328125),"YSC: Sherbrooke Airport; Sherbrooke, Canada",YSC,CYSC,Sherbrooke,Canada
135,-65.89029693603516,45.31610107421875,YSJ: Saint John Airport,POINT(-65.89029693603516 45.31610107421875),"YSJ: Saint John Airport; St. John, Canada",YSJ,CYSJ,St. John,Canada
136,-111.96199798583984,60.020301818847656,YSM: Fort Smith Airport,POINT(-111.96199798583984 60.020301818847656),"YSM: Fort Smith Airport; Fort Smith, Canada",YSM,CYSM,Fort Smith,Canada
137,-84.613602,72.982201,YSR: Nanisivik Airport,POINT(-84.613602 72.982201),"YSR: Nanisivik Airport; Nanisivik, Canada",YSR,CYSR,Nanisivik,Canada
138,-63.83359909057617,46.44060134887695,YSU: Summerside Airport,POINT(-63.83359909057617 46.44060134887695),"YSU: Summerside Airport; Summerside, Canada",YSU,CYSU,Summerside,Canada
139,-125.242996216,71.9938964844,YSY: Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,POINT(-125.242996216 71.9938964844),"YSY: Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport; Sachs Harbour, Canada",YSY,CYSY,Sachs Harbour,Canada
140,-76.5267028809,64.2300033569,YTE: Cape Dorset Airport,POINT(-76.5267028809 64.2300033569),"YTE: Cape Dorset Airport; Cape Dorset, Canada",YTE,CYTE,Cape Dorset,Canada
141,-97.86419677734375,55.80110168457031,YTH: Thompson Airport,POINT(-97.86419677734375 55.80110168457031),"YTH: Thompson Airport; Thompson, Canada",YTH,CYTH,Thompson,Canada
