COVID-19 Vaccinations in the United States
Date generated: Fri Jun 11 2021 09:21:54 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Delaware,1254385,128818,162867,969254,99537,933340,121183,544590,55.9,521351,67.7,438882,45.1,428778,55.7,677625,510960,65800,0,41895,391313,535702,344,168051,229358,41306,167,167961,219373,41277,167,397576,55.9,521351,67.7,40.8,387501,50.3,544590,173899,92.1,152412,80.7,62766,81462,8082,102,326648,172916,664026,544445,64.8,438856,52.3,168047,229343,41299,167,969085,115394,149366
Florida,24132825,112362,139918,19490341,90747,19039379,110387,10900234,50.8,10595296,61.4,8814001,41,8674341,50.3,12665445,9773280,1694100,0,884221,8104912,10461426,39782,3500899,4430042,870198,12862,3500002,4291971,869519,12849,7943803,50.8,10595296,61.4,37,7804822,45.3,10900234,3982351,88.5,3406627,75.7,1698999,1531663,166802,9163,7674558,170647,536603,10893460,58.3,8812962,47.1,3500318,4429955,869827,12862,19482837,104208,129080
Federated States of Micronesia,77800,75065,96237,45840,44229,45810,56666,26791,25.8,26762,33.1,21971,21.2,21961,27.2,0,67600,10200,0,3005,42835,0,0,18945,38,2988,0,18941,38,2982,0,18983,25.8,26762,33.1,18.3,18979,23.5,26791,2263,12.8,2011,11.4,1679,5,327,0,3934,22328,441569,26782,30.3,21967,24.8,18944,38,2985,0,45830,51780,87901
Georgia,10893035,102596,134257,7935079,74736,7717782,95122,4383278,41.3,4231805,52.2,3590749,33.8,3523833,43.4,5694195,4602140,596700,0,203504,3440604,4290311,660,1525765,1864110,200478,396,1525340,1797883,200228,382,3390271,41.3,4231805,52.2,31.9,3323605,41,4383278,1212073,79.9,1053380,69.4,586786,440955,25455,184,2336467,154024,718086,4381766,48.8,3590525,39.9,1525723,1864015,200391,396,7933458,88266,121194
Guam,215770,130164,166877,169333,102151,160942,124473,94357,56.9,88423,68.4,77546,46.8,75087,58.1,122070,74200,19500,0,3496,66138,99699,0,29696,44352,3498,0,29687,41903,3497,0,74048,56.9,88423,68.4,44.7,71590,55.4,94357,14702,52.2,13186,46.8,5653,7297,236,0,27826,98740,765658,94348,66.6,77545,54.8,29695,44352,3498,0,169323,119610,152421
Hawaii,1898080,134057,170078,1620631,114462,1553139,139170,962100,68,909817,81.5,691802,48.9,675632,60.5,1070160,746720,81200,0,33195,575624,918052,93760,246048,394115,33566,18073,245559,378569,33448,18056,658236,68,909817,81.5,46.5,642184,57.5,962100,265621,98.9,221194,82.4,92687,119365,7733,1409,479272,178534,707057,958961,79.2,691358,57.1,246004,393755,33537,18062,1617761,133577,156722
Iowa,3385475,107303,139422,2914925,92389,2818524,116073,1579875,50.1,1516236,62.4,1427923,45.3,1396079,57.5,1787955,1409720,187800,0,118146,1262192,1534459,128,606451,705564,115831,77,606342,673884,115776,77,1312092,50.1,1516236,62.4,41.6,1280303,52.7,1579875,485545,87.8,465651,84.2,248679,206325,10596,51,946283,171132,612253,1579828,59,1427910,53.4,606445,705559,115829,77,2914904,108916,126499
Idaho,1632955,91376,121966,1265340,70805,1265150,94494,685025,38.3,684373,51.1,602843,33.7,602696,45,844935,687920,100100,0,44435,552620,667495,790,252812,305546,44246,239,252801,305425,44232,238,558597,38.3,684373,51.1,31.3,558464,41.7,685025,231584,79.7,216446,74.5,101090,106696,8557,103,445991,153436,561790,685004,45.8,602832,40.3,252810,305544,44239,239,1265318,84614,109198
Indian Health Svc,1743515,83710,N/A,1395455,66999,1334327,N/A,782040,37.5,741551,N/A,629212,30.2,608633,N/A,752115,916700,74700,0,23795,761599,610061,0,336030,269557,23625,0,335824,249220,23589,0,605587,37.5,741551,N/A,29.1,585044,0,782040,148747,0,123632,0,71206,49942,2484,0,272926,0,0,781747,0,629090,0,335965,269513,23612,0,1395021,0,0
Illinois,14372865,113424,145859,12077496,95310,11542318,117134,7170000,56.6,6789991,68.9,5290097,41.7,5127155,52,7823985,5698780,850100,0,409581,4880995,6778317,8603,2057428,2820149,409632,2888,2052376,2664174,407735,2870,4880465,56.6,6789991,68.9,38.5,4719420,47.9,7170000,1811311,88.6,1464376,71.7,677186,724792,60785,1613,3230330,158099,703438,7152771,66,5285852,48.8,2057386,2815970,409608,2888,12055913,111239,132618
Indiana,6542990,97189,126698,5244854,77907,5088673,98537,2870859,42.6,2767293,53.6,2468780,36.7,2420456,46.9,3514290,2601800,426900,0,179047,2110599,2941585,13623,970581,1317407,176346,4446,970425,1269365,176227,4439,2292434,42.6,2767293,53.6,34.1,2244229,43.5,2870859,883424,81.4,838175,77.2,417753,396169,21742,2511,1732353,159555,602628,2870663,50.3,2468730,43.3,970571,1317381,176332,4446,5244653,91930,114688
Kansas,3018215,103601,136382,2375442,81537,2311508,104448,1387300,47.6,1339255,60.5,1148616,39.4,1126964,50.9,1521195,1324820,172200,0,76244,1060227,1238310,661,493047,579292,76043,234,492909,557841,75982,232,1072573,47.6,1339255,60.5,36.8,1050982,47.5,1387300,431882,90.8,369073,77.6,179676,175676,13592,129,770489,162042,634763,1387193,56.6,1148597,46.8,493040,579286,76037,234,2375331,96885,123107
Kentucky,4375825,97944,126294,3751031,83959,3648493,105302,2123250,47.5,2051199,59.2,1776089,39.8,1745570,50.4,2209545,1899980,266300,0,151073,1661864,1937630,464,753247,874490,147889,463,753128,844170,147813,459,1628200,47.5,2051199,59.2,36.4,1597757,46.1,2123250,635834,84.7,568392,75.7,260039,276172,31904,277,1159223,154447,583005,2122946,55.8,1776053,46.7,753240,874479,147872,462,3750015,98525,114967
Louisiana,3960420,85192,111211,3168577,68159,3114370,87454,1702116,36.6,1665929,46.8,1498902,32.2,1481310,41.6,1989780,1732540,238100,0,112273,1470397,1584799,1108,670125,721315,106917,545,669904,704037,106827,542,1391985,36.6,1665929,46.8,29.9,1374483,38.6,1702116,572824,77.3,540397,72.9,259681,262818,17783,115,1119808,151117,534454,1701994,43.4,1498867,38.2,670117,721304,106901,545,3168441,80759,100946
Massachusetts,9527630,138232,171988,8398807,121854,8004027,144485,4699367,68.2,4440164,80.2,3937546,57.1,3800703,68.6,5263050,3819880,444700,0,273755,3421370,4703506,176,1553863,2109293,274343,47,1549452,1977838,273369,44,3663203,68.2,4440164,80.2,53.1,3527334,63.7,4699367,1114630,95.3,990148,84.7,451700,475934,62496,18,2042422,174666,814793,4687607,77.9,3934274,65.4,1553855,2106034,274338,47,8383717,139340,158352
Maryland,8269590,136785,175538,6377412,105487,6087319,129215,3557729,58.8,3369358,71.5,3059269,50.6,2959235,62.8,4573530,3256660,439400,0,246003,2553741,3572305,5363,1185702,1633205,238808,1554,1185460,1533544,238691,1540,2820461,58.8,3369358,71.5,46.7,2720544,57.7,3557729,856599,89.3,793732,82.7,386767,359725,46706,534,1594875,166237,861958,3557414,68.9,3059185,59.3,1185674,1633174,238783,1554,6377136,123519,160174
Maine,1809810,134637,165224,1535266,114213,1475103,134667,869249,64.7,830154,75.8,768976,57.2,748250,68.3,933270,773440,103100,0,99452,661518,773988,308,312165,358502,98230,79,312120,337867,98189,74,670746,64.7,830154,75.8,49.9,650061,59.3,869249,268122,94,253515,88.9,116255,116443,20793,24,499560,175121,634431,869161,73.4,768952,64.9,312161,358499,98213,79,1535175,129558,152735
Marshall Islands,51300,87823,112594,30904,52906,30829,67664,16893,28.9,16839,37,14375,24.6,14350,31.5,0,40500,10800,0,397,30507,0,0,13966,9,400,0,13944,8,398,0,13975,28.9,16839,37,23.9,13952,30.6,16893,1015,10.2,849,8.5,830,0,19,0,1845,18580,516616,16876,33.8,14368,28.8,13959,9,400,0,30880,61904,102839
Michigan,11411120,114261,145496,8952922,89647,8638534,110144,4971722,49.8,4764661,60.8,4376010,43.8,4267072,54.4,5989620,4779000,642500,0,305574,3732484,4913531,1333,1764535,2300096,310741,638,1764100,2191760,310578,634,4065269,49.8,4764661,60.8,40.7,3956494,50.4,4971722,1477155,83.7,1388460,78.6,697836,632223,57978,423,2782605,157619,646376,4971457,57.8,4375949,50.9,1764516,2300067,310729,637,8952628,104161,132765
Minnesota,6414630,113742,147923,5571881,98799,5324003,122773,3124967,55.4,2962979,68.3,2702368,47.9,2617093,60.4,3504930,2564800,344900,0,245025,2233147,3093339,370,1037689,1417841,246721,117,1036124,1334488,246370,111,2455647,55.4,2962979,68.3,43.5,2370723,54.7,3124967,834056,90.6,776936,84.4,328525,405138,43242,31,1555499,169006,696953,3116666,65.2,2700182,56.5,1037678,1415684,246703,117,5561277,116391,134251
Missouri,5988435,97572,125627,4797636,78170,4660357,97766,2643742,43.1,2554838,53.6,2182755,35.6,2140188,44.9,3219255,2457880,311300,0,154600,1857007,2785623,406,830892,1196595,155191,77,830686,1154369,155060,73,2027564,43.1,2554838,53.6,33,1985128,41.6,2643742,840723,79.2,747251,70.4,342484,374358,30374,35,1596872,150359,563863,2643460,50.5,2182724,41.7,830883,1196585,155179,77,4797340,91627,114377
Northern Mariana Islands,72330,127158,163023,50632,89012,48209,108657,27247,47.9,25580,57.7,23714,41.7,22958,51.7,49530,20200,2600,0,313,7212,43107,0,3233,20163,318,0,3233,19407,318,0,23396,47.9,25580,57.7,41.1,22640,51,27247,2639,27.3,2527,26.1,409,2061,57,0,5108,52823,747983,27247,56.1,23714,48.8,3233,20163,318,0,50632,104233,148901
Mississippi,2615915,87896,114856,1822981,61253,1797751,78933,1038079,34.9,1019781,44.8,834928,28.1,827678,36.3,1291875,1160040,164000,0,53315,855527,913242,897,383927,398617,52350,34,383804,391534,52306,34,782578,34.9,1019781,44.8,26.3,775372,34,1038079,367244,75.5,320926,65.9,170377,136849,13688,12,669689,137600,537488,1038008,41.2,834910,33.1,383923,398610,52343,34,1822907,72297,103747
Montana,1094385,102396,130254,898779,84094,873732,103992,495488,46.4,478674,57,429634,40.2,421600,50.2,538785,486000,69600,0,34409,410339,453737,294,189866,206164,33516,88,189791,198223,33498,88,396118,46.4,478674,57,37.1,388102,46.2,495488,168000,81.4,154747,75,74897,72524,7279,47,315810,152981,530130,495404,54,429615,46.8,189853,206161,33513,88,898672,97937,119266
North Carolina,11477190,109431,140182,8324921,79375,8063875,98492,4621880,44.1,4450188,54.4,3900819,37.2,3811398,46.6,6104670,4726220,646300,0,283241,3384674,4656677,329,1516174,2104275,280329,41,1513870,2018210,279277,41,3620490,44.1,4450188,54.4,34.5,3532121,43.1,4621880,1387588,79.2,1256128,71.7,590661,634587,30852,28,2660574,151938,655430,4615613,51.4,3898910,43.4,1516088,2102470,280311,41,8316758,92557,127730
North Dakota,700440,91914,120373,621981,81618,607572,104413,325568,42.7,316382,54.4,283113,37.2,279031,48,357240,306700,36500,0,26520,269857,325604,0,119638,139839,23635,1,119476,136017,23537,1,259478,42.7,316382,54.4,34,255494,43.9,325568,99159,82.7,88163,73.6,43693,41185,3285,0,192288,160447,584455,325175,51,283070,44.4,119634,139802,23633,1,621509,97530,109917
Nebraska,2042240,105574,140039,1746606,90292,1685921,115606,955405,49.4,915191,62.8,846814,43.8,826106,56.6,1123980,810260,108000,0,63463,704398,975532,3213,329100,453028,63743,943,329001,432477,63702,926,783071,49.4,915191,62.8,40.5,762404,52.3,955405,271006,86.7,254415,81.4,123719,125060,4997,639,529533,169473,653605,955209,59.1,846767,52.4,329082,453012,63730,943,1746361,107973,126266
New Hampshire,1771865,130312,160428,1457239,107173,1395987,126396,828123,60.9,789495,71.5,715515,52.6,695344,63,934245,720920,116700,0,54397,625522,777299,21,302950,356867,55673,25,302723,336956,55640,25,659842,60.9,789495,71.5,48.5,639704,57.9,828123,233821,92.1,212604,83.7,92575,107246,12768,15,419033,165062,697958,827711,69.1,715341,59.7,302851,356800,55665,25,1456653,121533,147832
New Jersey,11206255,126165,161389,9438282,106261,9069842,130621,5504682,62,5251845,75.6,4543290,51.2,4424505,63.7,6001515,4598740,606000,0,367616,3971834,5098357,475,1822215,2350317,370716,42,1821896,2232018,370557,34,4172574,62,5251845,75.6,47,4053948,58.4,5504682,1340772,90.9,1195938,81.1,566266,550725,78930,17,2410463,163362,759471,5504086,72.2,4543199,59.6,1822196,2350290,370671,42,9437695,123881,147095
New Mexico,2310105,110171,142512,2196837,104769,2110838,130219,1232814,58.8,1170541,72.2,1032269,49.2,1004176,61.9,1162785,1008820,138500,0,66019,976383,1151306,3129,435761,530715,64873,920,435481,503003,64775,917,967396,58.8,1170541,72.2,46.1,939401,58,1232814,342491,90.7,306085,81.1,141056,148885,15616,528,629574,166728,611777,1232666,69,1032233,57.7,435746,530701,64866,920,2196681,122896,129242
Nevada,2956930,95999,123850,2578580,83716,2511574,105196,1439437,46.7,1393266,58.4,1176814,38.2,1157897,48.5,1575990,1197840,183100,0,110892,1052756,1414932,0,472242,595463,109099,10,472175,576646,109066,10,1067715,46.7,1393266,58.4,34.7,1048831,43.9,1439437,398897,80.4,352617,71.1,169413,163698,19501,5,751226,151465,596189,1439387,54.9,1176801,44.9,472239,595455,109097,10,2578546,98350,112782
New York State,23222835,119376,150551,20312650,104416,19651164,127396,11124612,57.2,10681401,69.2,9523380,49,9302127,60.3,12424815,9547120,1250900,0,864030,8322650,11121504,4466,3773719,4931257,817497,907,3772829,4711357,817057,884,8705883,57.2,10681401,69.2,44.8,8485070,55,11124612,2772303,84.1,2512914,76.2,1213703,1149731,149007,473,5226245,158556,704545,11123483,66.3,9522995,56.8,3773592,4931111,817399,893,20311210,121093,138452
Ohio,12156875,104002,133430,10183481,87119,9852362,108136,5477125,46.9,5264090,57.8,4873645,41.7,4759162,52.2,6400875,5100600,655400,0,403481,4242439,5526225,11336,1951057,2529654,389496,3438,1950794,2415605,389353,3410,4484149,46.9,5264090,57.8,38.4,4369809,48,5477125,1693077,82.7,1598252,78.1,732221,790182,73989,1860,3283920,160479,594085,5476917,54.8,4873601,48.7,1951048,2529634,389481,3438,10183277,101826,121560
Oklahoma,3960855,100098,131821,3011989,76119,2945721,98036,1669918,42.2,1626054,54.1,1365242,34.5,1343694,44.7,2004795,1733760,222300,0,87844,1401492,1522601,52,618229,660392,86593,28,618059,639064,86543,28,1278649,42.2,1626054,54.1,32.3,1257151,41.8,1669918,520989,82,448507,70.6,237404,195900,15193,10,964597,151873,623627,1669779,50.2,1365207,41.1,618215,660379,86585,28,3011826,90575,119115
Oregon,5486825,130089,163728,4232089,100340,4060011,121152,2371854,56.2,2252589,67.2,2023687,48,1969855,58.8,2910765,2265960,310100,0,155049,1709781,2364926,2333,789996,1079416,153813,462,787926,1028249,153225,455,1869874,56.2,2252589,67.2,44.3,1816630,54.2,2371854,651216,85,607615,79.3,277407,288444,41529,235,1211740,158174,716221,2366188,64.9,2022573,55.4,789994,1078306,153811,462,4225230,115831,150416
Pennsylvania,15326265,119718,150740,13084043,102203,12662765,124543,7691157,60.1,7396864,72.8,5878170,45.9,5752893,56.6,7778745,6487020,1060500,0,496910,5515270,7071495,368,2361470,3015330,501090,280,2360309,2891481,500834,269,5377080,60.1,7396864,72.8,42,5252059,51.7,7691157,2379164,99.4,1897925,79.3,899208,929404,69166,147,4231423,176798,640366,7689154,69.4,5877623,53,2361353,3014938,501052,280,13081526,118048,138305
Puerto Rico,3892910,121894,148530,2861256,89591,2749527,104905,1700675,53.3,1618141,61.7,1272298,39.8,1240598,47.3,1974570,1728340,190000,0,86651,1190563,1583746,296,499140,686344,86790,24,498967,654922,86685,24,1185508,53.3,1618141,61.7,37.1,1153913,44,1700675,448454,82.6,373723,68.8,175407,183944,14369,3,803126,147925,717021,1700020,62.3,1272178,46.6,499118,686279,86757,24,2860515,104883,142736
Rhode Island,1488065,140468,174070,1197352,113026,1148689,134371,659532,62.3,628005,73.5,570000,53.8,553574,64.8,824265,602200,61600,0,44849,482401,670061,41,223327,301875,44788,10,223286,285507,44771,10,525212,62.3,628005,73.5,49.6,508803,59.5,659532,176563,94.4,165496,88.5,76008,83901,5583,4,338202,180812,795561,659446,71.1,569982,61.5,223323,301862,44787,10,1197276,129088,160440
Republic of Palau,24600,137376,176129,24369,136086,24369,174476,13802,77.1,13801,98.8,12482,69.7,12482,89.4,0,20800,3800,0,1729,22639,1,0,10734,21,1727,0,10734,21,1727,0,10755,77.1,13801,98.8,60.1,10755,77,13802,1665,54.7,1607,52.8,1418,8,181,0,3049,100164,808147,13802,90.3,12482,81.6,10734,21,1727,0,24369,159358,160868
South Carolina,5166425,100344,127960,3900324,75753,3808769,94334,2154884,41.9,2094317,51.9,1818527,35.3,1787041,44.3,2634645,2218580,313200,0,134593,1594735,2169935,1061,702661,984022,131628,216,701368,954224,131233,216,1686899,41.9,2094317,51.9,32.8,1655808,41,2154884,778480,83.1,689883,73.6,292365,374432,22937,149,1451124,154865,551366,2151566,48.7,1817375,41.1,702586,982979,131594,216,3895839,88142,116888
South Dakota,945475,106875,141632,789532,89247,767947,115038,433174,49,418317,62.7,383451,43.3,376714,56.4,460395,425780,59300,0,23707,352906,412906,13,168471,191042,23925,13,168430,184357,23914,13,359526,49,418317,62.7,40.6,352800,52.8,433174,137754,90.7,128667,84.7,66535,58685,3440,7,259245,170701,622551,433150,58.7,383446,52,168470,191039,23924,13,789510,106965,128096
Tennessee,6172220,90380,116038,4963190,72676,4856945,91311,2725092,39.9,2653100,49.9,2232783,32.7,2199936,41.4,3243240,2561480,367500,0,144810,2071022,2737620,9738,905687,1183406,140816,2874,905428,1150968,140675,2865,2091967,39.9,2653100,49.9,30.6,2059261,38.7,2725092,883594,77.3,779488,68.2,394292,358279,25134,1783,1695134,148255,539816,2724618,46.7,2232691,38.3,905672,1183363,140782,2874,4962642,85041,105769
Texas,30974425,106824,143426,23847099,82243,22928842,106171,13224910,45.6,12627145,58.5,10787111,37.2,10362490,48,16561545,12519380,1893500,0,915333,9992676,12938249,841,4386378,5505650,894416,667,4213714,5288927,859208,641,9896103,45.6,12627145,58.5,34.1,9668493,44.8,13224910,3048342,81.6,2665496,71.4,1083874,1360446,221010,165,5765144,154386,829473,13220943,54.9,10784954,44.7,4385501,5504549,894237,667,23842402,98927,128519
